,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
SMARCA5,3.83607800859737e-146,0.165834399173201,4.31833080327435e-71,0.113025297669537,0.41,0.451,0.909090909090909,1
RFX1,4.11950664261386e-140,0.162327695151626,3.79142685165898e-92,0.131111394911493,0.116,0.101,1.14851485148515,1
KLF9,1.4926059098838e-133,0.158426096029662,1.78524815725745e-102,0.13845904144176,0.281,0.303,0.927392739273928,1
DEAF1,6.54178135033351e-123,0.151883648790165,9.89473987820121e-246,0.170133382790845,0.101,0.093,1.08602150537634,1
RARA,1.84890057245365e-120,0.150336468649821,1.78203044965616e-68,0.112652444963587,0.109,0.074,1.47297297297297,1
ZBTB7B,4.44187821953245e-113,0.145579001702929,1.27845108363652e-275,0.227647578634203,0.135,0.115,1.17391304347826,1
ARNTL,4.67223345440468e-106,0.140904310008627,7.23341377691963e-93,0.131677646564577,0.181,0.111,1.63063063063063,1
PREB,1.0219946904145e-104,0.139994628548294,1.01798369789802e-05,0.0269523053973369,0.169,0.129,1.31007751937985,1
KAT7,9.97844655091804e-104,0.139318976930968,7.99126632478857e-111,0.144094224183579,0.129,0.114,1.13157894736842,1
JUNB,1.95196294885401e-99,0.136350485508327,1.95847861464073e-97,0.134943797993769,0.736,0.732,1.00546448087432,1
TFEB,2.42484648116759e-88,0.128360052715709,6.7764801869103e-124,0.137595103096419,0.133,0.086,1.54651162790698,1
GTF2IRD1,1.08652050685972e-85,0.126376054228408,9.05242670623557e-26,0.0662633947956008,0.144,0.085,1.69411764705882,1
MXI1,1.9608954712739e-83,0.124662847052392,6.1930164929824e-155,0.164116369508606,0.104,0.189,0.55026455026455,1
DDIT3,1.2631407459316e-79,0.121716424709898,5.48045330765596e-22,0.0620920412927014,0.235,0.323,0.727554179566563,1
ARNT,1.25603582433936e-75,0.118545861485166,1.10981934607997e-34,0.0791290661870356,0.15,0.112,1.33928571428571,1
EHF,6.84101112210378e-68,0.112157447961917,4.33892788655077e-26,0.0680328135084576,0.385,0.328,1.17378048780488,1
PIN1,1.55684480935867e-67,0.111853783671168,7.05874811740226e-72,0.114623245462381,0.288,0.35,0.822857142857143,1
KDM5B,9.39672884564798e-67,0.111187056516898,7.36356381973579e-39,0.0839930281682892,0.301,0.193,1.55958549222798,1
RFX2,2.15201088532418e-56,0.101930951112927,2.18566945523775e-67,0.11172826172732,0.163,0.137,1.18978102189781,1
KDM5A,1.94221167325115e-52,0.0981688076863987,3.01955776368963e-42,0.0877419202348952,0.288,0.228,1.26315789473684,1
MITF,2.07291243734059e-51,0.0971671253431496,2.91925580648406e-72,0.115809078248975,0.124,0.091,1.36263736263736,1
SMARCA1,1.04693392907077e-49,0.0954849383960441,1.42528538901466e-31,0.0753086144895005,0.223,0.176,1.26704545454545,1
ID4,5.60616922851935e-49,0.0947562012819052,2.25770655342949e-43,0.0865491872867764,0.308,0.373,0.82573726541555,1
NR2C1,7.48645653548726e-48,0.0936195616910657,0.00553023324303093,0.0178687574029012,0.152,0.084,1.80952380952381,1
ELF3,4.0625878484294e-45,0.0907995571697444,4.77689328386476e-28,0.070730654672839,0.715,0.696,1.02729885057471,1
MTA3,5.53302855443625e-43,0.0885369293976235,1.47419758871115e-61,0.106566224204928,0.174,0.128,1.359375,1
CEBPB,1.34160263990628e-41,0.0870377911553653,8.59774801677076e-47,0.0925364193193848,0.573,0.605,0.947107438016529,1
SMARCC1,6.09378323998754e-41,0.0863171741208108,3.23908879817023e-20,0.0572840125544817,0.348,0.192,1.8125,1
KAT5,1.24087220338735e-39,0.0848641525934505,4.1662074327378e-116,0.147549180805962,0.136,0.204,0.666666666666667,1
NSD2,1.96221545956359e-39,0.0846410486415641,6.10031008123895e-52,0.0969793342068455,0.209,0.125,1.672,1
JUND,1.30422289511584e-38,0.083712660500235,2.36590976833296e-10,0.0408123243746872,0.586,0.686,0.854227405247813,1
NFIA,1.67619025628881e-38,0.0835889112498175,1.59591031480901e-192,0.190664718101716,0.541,0.482,1.12240663900415,1
RB1,1.03437530844371e-35,0.0803560483346784,4.87556724319067e-112,0.144895775156902,0.215,0.126,1.70634920634921,1
SOX6,6.54249114751795e-35,0.0794039365993335,1.85493182934664e-57,0.10213320971497,0.122,0.069,1.76811594202899,1
FOSB,4.03067926791608e-32,0.0759965034098616,6.76188884046919e-32,0.0757154724113625,0.541,0.507,1.06706114398422,1
KDM2A,1.55660377796343e-31,0.0752603857914619,3.70430832409005e-38,0.0821650267028626,0.365,0.219,1.66666666666667,1
YBX1,8.06010149520447e-31,0.074354806305604,8.32495577631199e-22,0.0618149445299446,0.718,0.793,0.905422446406053,1
ELK4,3.84796420444407e-30,0.0734837581253214,1.17441518771007e-21,0.0615725353747645,0.128,0.119,1.07563025210084,1
NCOA2,2.61561448096106e-28,0.0710803327478997,1.47044876314376e-98,0.135735894602129,0.346,0.22,1.57272727272727,1
ENO1,7.13079414079172e-28,0.0704971547317381,6.88938404453057e-08,0.0347455803702985,0.73,0.805,0.906832298136646,1
UBTF,2.14429325357868e-27,0.0698514482905327,0.000163717568000765,0.0231927886068803,0.129,0.156,0.826923076923077,1
NCOR2,4.13764534580845e-26,0.0680856588339032,1.17727612254372e-33,0.0778887831202988,0.389,0.267,1.45692883895131,1
TP53,1.40755281658524e-24,0.0659209828574827,1.04255024463695e-31,0.0754795021361909,0.101,0.106,0.952830188679245,1
ARID5B,3.16532043715934e-24,0.0654136532466785,0.0115560857437684,0.0161112443278576,0.402,0.314,1.28025477707006,1
KLF4,1.6143354020108e-23,0.0643818351151126,2.3208731528979e-22,0.0626577782928543,0.283,0.103,2.74757281553398,1
ARID1B,1.38390943062555e-22,0.0629957985259578,6.50963351630307e-70,0.0924279952895914,0.462,0.343,1.3469387755102,1
NFIL3,6.80767177106345e-22,0.0619484569370831,4.754549350118e-264,0.222748269527171,0.139,0.172,0.808139534883721,1
NUPR1,3.44311141578937e-21,0.0608647503532997,6.52541456920411e-07,0.0318038127776505,0.6,0.81,0.740740740740741,1
TWIST2,1.0883700577428e-20,0.0600836787544027,6.12061996911854e-95,0.133169503420917,0.208,0.145,1.43448275862069,1
RFX3,3.26646198993074e-20,0.0593284198591986,3.67395309594944e-34,0.0785029241817114,0.212,0.094,2.25531914893617,1
PBX2,4.48463139688454e-20,0.059108857481929,2.00635421460201e-05,0.027307591283228,0.127,0.149,0.852348993288591,1
CEBPA,6.35985954991912e-20,0.0588659222370858,4.39270668997704e-31,0.0746903295189291,0.226,0.368,0.614130434782609,1
RLF,1.51177925835182e-19,0.0582595390920836,1.25451407045112e-08,0.0366315622537528,0.212,0.117,1.81196581196581,1
BRD4,8.19943223676763e-19,0.0570573174688073,2.59276720151819e-29,0.0714841637480762,0.427,0.332,1.28614457831325,1
PPARD,1.5375176018808e-18,0.0566039349219462,3.05622039141052e-14,0.0489318244980133,0.134,0.071,1.88732394366197,1
ATF3,4.67591821868399e-18,0.0557930248897595,1.995183758589e-12,0.0453173216546511,0.336,0.309,1.0873786407767,1
BCLAF1,2.46141511581942e-17,0.0545602633803091,0.00173466228565354,0.0201775705103108,0.492,0.466,1.05579399141631,1
ID1,1.02132033182395e-15,0.0516912143407467,9.21554886636076e-149,0.167334608656005,0.637,0.579,1.10017271157168,1
HSF1,1.71267473350486e-15,0.0512807843463165,2.18805614040184e-35,0.0799706647829099,0.181,0.156,1.16025641025641,1
KAT6B,1.27980853223808e-14,0.0496527198263752,1.77128120014023e-75,0.0849512738041277,0.279,0.205,1.3609756097561,1
NCOR1,1.66405346676765e-14,0.0494363597340121,8.13957265917729e-105,0.14006193371499,0.512,0.409,1.2518337408313,1
CREB3,8.18856131267488e-13,0.0461105809974126,1.18857006744669e-11,0.0436695211478514,0.166,0.182,0.912087912087912,1
MAFB,3.22995605343223e-12,0.0448826076663463,2.40429286806493e-06,0.0303803399530408,0.256,0.098,2.61224489795918,1
KAT6A,4.55480697022889e-12,0.0445699464799074,1.63816294444495e-06,0.0308772202032155,0.272,0.204,1.33333333333333,1
HIVEP3,5.45924613296127e-12,0.0444043311665809,2.17268634778762e-71,0.0757696634589175,0.298,0.148,2.01351351351351,1
ZNF91,1.10779467147447e-10,0.0415593831331842,3.81510910170677e-62,0.107167582812422,0.275,0.183,1.50273224043716,1
NFIC,3.65923073527901e-09,0.0379999138432871,3.25535852186406e-14,0.0488791469113009,0.585,0.574,1.0191637630662,1
AHR,3.28678317650452e-08,0.0355940486297461,0.00380800198054118,0.0186404470694709,0.531,0.366,1.45081967213115,1
HMGB2,4.50345617126709e-08,0.035236185666954,8.27751940874834e-40,0.0816830142040397,0.195,0.247,0.789473684210526,1
USF2,1.64778629738343e-07,0.0337246233217073,1.46869646811466e-18,0.0566370785707287,0.183,0.227,0.806167400881057,1
SKI,2.27237289419543e-05,0.027289624177556,1.08449643373208e-29,0.0515435089494332,0.22,0.138,1.59420289855072,1
RXRA,0.00296362254644734,0.0191418982001253,4.76815412349232e-29,0.0720594466070457,0.166,0.192,0.864583333333333,1
RORA,0.00719583027069098,0.0173134202042067,8.60125138216203e-31,0.0743187958493813,0.342,0.307,1.11400651465798,1
PARK7,0.00999359156340024,0.0165945606141067,1.69376145898172e-11,0.0432524349755082,0.611,0.697,0.87661406025825,1
KDM5C,0.0156208146849189,0.0155742059000574,3.24302006477403e-37,0.0765285782960566,0.174,0.137,1.27007299270073,1
