,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM1.pct,LAM2.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
NR3C2,0.00736857723470659,0.171832488663644,3.3576011858743e-08,0.38031475060016,2.69891449539065e-27,0.487523361689236,3.82905652318088e-34,0.549502409130819,0.184,0.096,0.215,1.91666666666667,0.855813953488372,1
XBP1,0.00784488517194614,0.170232061883169,0.0122425638505159,0.158495598826354,2.89494441276276e-13,0.326508028276514,2.86642729408149e-08,0.245920304015095,0.687,0.557,0.583,1.23339317773788,1.17838765008576,1
MAFF,0.00794333286239095,0.169911976527074,0.0154134314682396,0.152147239263804,7.18007825938163e-08,0.238381782294045,7.00374364564522e-06,0.196835613302573,0.564,0.365,0.266,1.54520547945205,2.1203007518797,1
ESR1,0.00824522418952279,0.168951720458789,0.0181563824971428,0.147506001600427,6.68825158116259e-48,0.656755160858612,3.95102763291146e-24,0.456085114601079,0.675,0.635,0.047,1.06299212598425,14.3617021276596,1
ATF6,0.0105276902276937,0.16255001333689,0.00754015136040978,0.171245665510803,2.15871316299704e-08,0.248204643770103,0.000763382049860181,0.14362726436393,0.362,0.33,0.353,1.0969696969697,1.02549575070822,1
MNT,0.0155017403250291,0.151987196585756,0.0216241120280045,0.14030408108829,1.76470991099534e-15,0.356654093979857,1.0202696720435e-06,0.208710971556276,0.147,0.122,0.062,1.20491803278689,2.37096774193548,1
E2F4,0.0173610291852916,0.148786343024807,0.027430965419871,0.135289410509469,1.27852032275911e-06,0.213139126147877,2.86206199020107e-07,0.22658725286279,0.221,0.165,0.161,1.33939393939394,1.37267080745342,1
FOSB,0.0212662044759694,0.142918111496399,0.0205054142968775,0.143985062683382,0.000167930152949891,0.162496166801073,0.0124205723240955,0.101680190583257,0.583,0.365,0.431,1.5972602739726,1.35266821345708,1
PPARGC1B,0.0222908006374152,0.141531074953321,0.00606593901143481,0.116404374499867,0.000762854694247922,0.143636365319129,6.5491290710933e-06,0.107559253388486,0.227,0.165,0.04,1.37575757575758,5.675,1
DMTF1,0.0227775585253735,0.140890904241131,0.00669950708214737,0.174233128834356,0.000418950535060847,0.151349501977221,0.000134450611353969,0.165081763598524,0.282,0.174,0.206,1.62068965517241,1.36893203883495,1
RUNX1,0.0273832311570228,0.135342758068818,0.0158291613563769,0.151400373432915,3.93307678099473e-20,0.41304422940824,1.05308864261509e-17,0.38462148356059,0.331,0.504,0.344,0.656746031746032,0.962209302325582,1
STAT2,0.0329629630859521,0.129581221659109,0.0249915006780549,0.138116831154975,2.89964432432161e-05,0.182202974130458,0.000370133613491523,0.152901446218908,0.362,0.33,0.136,1.0969696969697,2.66176470588235,1
